"광양역사문화관","전라남도 광양시 광양읍 매천로 829","광양의 역사, 문화, 인물 자료 전시·설명"
"사라실 라벤더 단지","","라벤더마을, 라벤더 체험장"
"사라실 예술촌","전라남도 광양시 사곡로 201","광양 사라실 예술촌"
"광양 마로산성","","국가지정문화재 사적 제492호"
"국립나주박물관","전라남도 나주시 반남면 고분로 747","박물관"
"영산포 역사갤러리","전라남도 나주시 영산3길 17 영산포","박물관"
"나주복암리고분전시관","전라남도 나주시 다시면 백호로 287","박물관"
"일본인근대가옥","전라남도 나주시 예향로 3869-4","근대가옥"
"왜목마을관광지","충청남도 당진시 석문면 왜목길 15-5","서해 최고의 일출, 일몰 감상지"
"난지섬관광지","충청남도 당진시 석문면 난지1길 67","바다가 맑고 한적한 섬 해수욕장"
"송도오션파크","부산광역시 서구 송도해변로 36","「송도지구 복합해양휴양지 조성사업」일환으로 2017년에 완공된 「송도오션파크」는 관광객 및 주민들의 열린공간인 ''''''''''''''''축제의 광장'''''''''''''''', 운동시설이 설치되어 있는 ''''''''''''''''젊음의 광장'''''''''''''''', 자동차야영장으로 운영되는 ''''''''''''''''힐링의 광장''''''''''''''''으로 조성되어 있고, ''''''''''''''''힐링의 광장''''''''''''''''은 ''''''''''''''''부산송도오토캠핑장''''''''''''''''이라는 이름으로 민간사업자가 운영중에 있다."
"몰운대","부산광역시 사하구 몰운대1길 14(다대동)","태종대, 해운대와 함께 부산의 3臺 중 하나"
"다대포 꿈의 낙조분수","부산광역시 사하구 몰운대1길 14(다대동)","세계 최대이자 최고의 바닥 음악분수"
"다대포해수욕장","부산광역시 사하구 몰운대1길 14(다대동)","백사장 길이 900m, 폭 100m의 얕은 수심으로 가족단위 피서지로 유명"
"낙동강하구아미산전망대","부산광역시 사하구 다대낙조2길 77(다대동)","모래섬, 철새, 낙조 등 천혜의 전경을 조망할 수 있는 전망대"
"을숙도 생태공원","부산광역시 사하구 낙동남로1233번길 25(하단동)","을숙도 상단부로 수생식물이 서식하는 생태의 보고"
"해저터널","","동양 최초의 바다 밑 터널"
"장사도해상공원","경상남도 통영시 한산면 장사도길 55","바다위의 공원으로 배를 타고 입장."
"통영시립박물관","경상남도 통영시 중앙로 65","통영시립박물관은 통여의 소중한 문화자산을 잘 보존, 전시하여 후대에까지 전하려고 합니다."
"삼도수군통제영","경상남도 통영시 세병로 27","이충무공의 숨결이 살아있는 통제영은 삼도수군통제영의 약칭으로 삼도수군통제사가 경상,전라,충청 3도의 수군을 지휘하던 본영을 말한다. 최초의 통제영은 임진왜란 당시 초대 통제사로 제수된 이순신장군의 한산 진영이였다."
"춘천호반(삼악산)","강원도 춘천시 서면 경춘로 1401-25","춘천시도기념물로 지정된 삼악산은 주봉인 용화봉과 청운봉, 등선봉 3개가 있어 삼악이라 불리게 되었다. 절벽사이로 크고 작은 폭포들이 이어지고, 그중에 등선폭포가 유명하다. 인근에는 금선사, 신흥사, 흥국사, 상원사 등 많은 문화재들이 있다."
"대신공원","부산광역시 서구 대신공원로 37-18","1968년 2월 21일 대신공원이란 이름으로 일반인이 즐기는 중앙 근린공원 으로 지정되었다. (건설부고시 제360호) 1900년 구덕산과 엄광산의 계곡에 2곳의 수원지를 축조하면서 삼나무, 편백, 벚꽃나무 등의 수목을 심고 주위를 정비한 후 수원지의 수원보호를 위해 일반인의 출입을 금지하였다. 1944년에는 수원지 일대를 자연공원 으로 고시하였는데 역시 일반인의 출입을 통제하였다."
"부산공동어시장","부산광역시 서구 충무대로 202","부산 공동어 시장은 5개의 수산업협동조합이 공동으로 운영하고 있다. 우리나라 수산물 위판량의 30/100를 차지하고 있는 이곳은 새벽부터 경매사와 수산물 중도매인들의 열기가 뜨거운 곳이다. 주로 소매상인들이 이용하는 시장으로 횟감을 파는 활어 위판장의 모습을 갖추지 않아 어종이 다양하지 못한 것이 단점이다. 일일 위판능력은 2,800∼3,200톤에 이른다."
"천마산조각공원","부산광역시 서구 천마산로 209번길 94","하늘에서 말이 내려왔다는 전설의 천마바위와 44점의 아름다운 조각예술작품이 운해의 바다 속에서 그 평화로움을 선보인다."
"구덕운동장","부산광역시 서구 망양로 57 (씨름체육관 서구 꽃마을로 156번길12)","1920년 9월 조그만 동물원을 곁에 둔 넓은 빈터로 마을 체육대회 장소로 사용하다 1928년 9월에 부산공설운동장으로 건립되었다가 1982년 사직운동장이 건립되어 그해 6월에 구덕운동장으로 개칭되었다."
"임시수도기념관","부산광역시 서구 임시수도기념로 45","6.25 당시 임시수도로서 국난극복의 역사적 현장을 길이 보전하여,후세에 물려줌으로서 민족사의 암울한 시기를 깨닫게 하고 조국통일과 번영의 산교육장으로 활용하고 있다."
"임진각관광지","경기도 파주시 문산읍 임진각로 177","서울에서 북서쪽으로 약 54km 떨어진 임진각은 6.25 전쟁의 비통한 한이 서려 있는 곳이다. 6,000평 대지 위에 지하 1층, 지상 3층의 임진각은 1972년에 북한 실향민을 위해 세워져 지금은 관광명소로 많이 알려져 있다. 이곳에는 평화와 환경의 중요성을 전달하는 경기평화센터가 있다. 또한, 철마는 달리고 싶다 철도중단점, 북한 실향민을 위한 망배단, 미얀마 아웅산 순국외교사절 위령탑, 한국전쟁의 대표 유산으로서 50여년 만에 개방이 된 자유의 다리와 한반도의 지령을 본딴 통일연못, 평화의 종, 미국군 참전기념비 등이 있는 통일안보 관광지이다. 더불어 남북교류 및 화해협력의 장소로 통일관련행사를 많이 치르고 있다. 판문점처럼 복잡한 허가절차를 필요로 하지 않는 관광지로서 경기도내에서 가장 외국인이 많이 찾는 곳이 되었다. 최근 소규모 어린이 놀이시설을 개발하여 바이킹, 미니열차 등을 이용할수 있다."
"공릉관광지","경기도 파주시 조리읍 장곡로 218","공릉 근처에 있다. 보트와 배 등 수상 레저시설을 갖춘 호반 관광지이다. 관광지 안에 들어선 하니랜드에는 10여 종의 놀이시설과 야외수영장, 낚시터,눈썰매장,산책로 등이 갖추어져 있다. 개장시간은 오전 10시부터 오후 6시까지이다."
"장흥관광지","경기도 양주시 장흥면 권율로 193","계명산과 송추계곡 등의 우수한 자연경관과 양주시립장욱진미술관, 가나아트파크, 송암스페이스센터 등 풍부한 문화예술체험을 동시에 즐길 수 있음"
"실안관광지","경상남도 사천시 노을길 138","전통 물고기 잡이 죽방렴과 전국에서 빼어난 노을을 관망할 수 있음."
"대광해수욕장","전라남도 신안군 임자면 대광해수욕장길 179","넓은 백사장과 주변 섬들의 경관 등 천혜의 자연환경을 지님"
"가우도","전라남도 강진군 대구면 중저길 31-27","곰솔나무 등 태고적 숨결이 가득한 함께해길그리고 바다를 걷는 출렁다리삶의 여유가 묻어나는 섬 가우도에서는 건강함도 함께한다"
"영랑생가","전라남도 강진군 강진읍 영랑생가길 15","구수한 남도 사투리로 현대 서정시의 새로운 지평을 열었던 영랑 김윤식 선생의 생가를 원형 그대로 보존한 곳으로 영랑의 시혼과 그 발자취를 엿볼 수 있다."
"다산초당","전라남도 강진군 도암면 다산초당길 68-35","다산초당은 조선 후기 실학 사상을집대성한 다산 정약용 선생이 18년간의 유배기간 중 10여년간 생활하며후학을 양성하고 ’’’’목민심서’’’’를 비롯하여 500여권의 책을 저술했던 조선실학의 산실이다."
"고려청자박물관","전라남도 강진군 대구면 청자촌길 33","고려청자의 체계적인 관리와 연구를 위해1997년 고려청자박물관을 개관,운영하여청자의 연구는 물론 누구나 쉽게 청자를접하고 이해할 수 있도록 하고 있다."
"백련사","전라남도 강진군 도암면 백련사길 145","신라말에 창건되어 1211년 원묘국사요세에 의해 중창된 백련사는 1236년백련결사문을 발표하고 백련결사운동을주창하였으며 고려 8국사와 조선 8대사를배출하여 명찰로 알려지게 되었다"
"신정호국민관광지","충청남도 아산시 신정로 616","신정호는 담수면적이 92ha이며 농업용수 공급을 목적으로 1926년에 만들어진 인공호수이다."
"아산온천관광지","충청남도 아산시 송악면 도송로632번길 138","1987년에 발견되어, 1991년에 관광지로 지정된 아산온천은 2001년 테마 온천 시설인 아산스파비스가 개장된 이후로 인기가 높다. 약알칼리성 온천으로 20여종의 인체에 유익한 성분이 다량 함유되어 있다."
"나주영상테마파크","전라남도 나주시 공산면 덕음로 450","테마공원"
"반남고분군","전라남도 나주시 반남면 고분로 756","사적"
"백호문학관","전라남도 나주시 다시면 회진길 8","박물관"
"안동문화관광지","안동시 관광단지로 346-30 (성곡동)","운동.숙박.휴양시설을 갖춘 체류형복합문화단지"
"삽교호관광지","충청남도 당진시 신평면 삽교천3길 100","서해대교를 비롯, 호수와 바다가 한눈에 들어오는 곳"
"구덕문화공원","부산광역시 서구 꽃마을로 163번길 73","구덕산 자락 숲속에 자리한 교육역사관은 약 277㎡의 단층 목조 건물로, 아늑한 실내 전시부스에는 각 종 교육사료 640여점이 전시되어 있다."
"송도해안산책로","부산광역시 서구 암남공원로 185","송도해수욕장과 암남공원을 연결하는 길이 800m, 폭 1m의 송도해안산책로는 편도로 20분 정도 소요된다. 산책로를 걸으며 수많은 배들이 닻을 내린 아름다운 송도 연안과 1억 년 전 퇴적암으로 형성된 암남공원의 절경을 함께 감상할 수 있어 좋다."
"춘향테마파크","전라북도 남원시 양림길 14-9","남원시 양림길 남원관광지내에 소재한 곳(3만 5천평 규모)으로 임권택 감독의 영화 [춘향뎐]의 촬영 장소를 포함하여 사랑의 테마가 있는 관광지로 조성한 곳이다. [춘향뎐]의 지고지순한 사랑을 오늘을 살아가는 이들의 마음속에 담아내 과거의 사랑과 이제 사랑을 시작하는 이들이 사랑의 추억을 만들 수 있도록 조성돼 있고 만남의 장, 맹약의 장, 춘향뎐 영화세트장, 축제의 장 등 사랑의 5개 마당으로 춘향테마의 일대기를 재현하고 있다. 또한 철저한 고증을 거쳐 완성된 동헌, 관아, 내아, 월매집, 부용당, 옥사정을 비롯해 조선 중기 서민들의 삶이 깃든 고건물들이 들어서 있어 조선 중기 서민문화와 춘향의 삶을 제대로 이해할 수 있도록 조성되어 있다."
"남원항공우주천문대","전라북도 남원시 양림길 48-63","남원항공우주천문대는 2009년 10월 9일에 개관하여 서남권 관광문화의 중심 도시인 남원 및 인근지역 어린이, 청소년에게 천문우주 및 첨단 항공과학 체험 기회를 제공하고 또한 가족 단위와 단체가 함께 즐길 수 있는 가족 체험시설로 관광수요 창출 및 지역경제 활성화에 기여하고 있습니다."
"남원시립김병종미술관","전라북도 남원시 함파우길 65-14","전라북도 남원시 춘향테마파크 내에 위치한 남원시립김병종미술관은 2018년 3월 2일에 개관하였습니다. 남원시에서 직접 운영하는 공립미술관으로서 시민들의 문화예술 향유를 통한 삶의 질 향상과 지역 출신 작가들의 전시 공간 마련을 통해 지역 미술의 특성을 알리는데 설립 목적이 있습니다. 특히 남원 출신의 김병종(b.1953) 작가가 본인의 대표작을 남원시에 대량 기증하면서 콜렉션의 기반을 갖추었습니다. 숲으로 둘러싸인 남원시립김병종미술관은 전원형(田園形) 미술관으로서 바쁜 일상에 지친 현대인들이 찾아와 미술작품 뿐 아니라 자연을 감상하고, 마음을 치유하는 복합 문화시설입니다. 또한 문학인으로 유명한 김병종 작가가 기증한 각종 문학 관련 자료들을 선보여, 미술과 문학이 공존하는 공간이기도 합니다. 약 2,000권의 미술·문학·인문학 관련 도서가 비치된 북카페도 이 같은 미술관의 독특한 역할에 일조하고 있습니다"
"혼불문학관","전라북도 남원시 사매면 노봉안길 52","현대 문학의 백미라고 할 수 있는 소설 “혼불”과 작가 최명희 선생의 문학정신을 널리 선양하고 전승, 보존하기 위하여 2004년 10월에 국고와 지방비 포함 49억을 들여서 이곳 노봉마을에 혼불문학관을 개관하게 되었습니다."
"국악의 성지","전라북도 남원시 운봉읍 비전길 69","민족의 영산 지리산 자락 운봉에 위치하고 있는 국악의 성지는 우리 민족의 전통과 혼이 담긴 국악의 본 고장이요, 성지임을 널리 알리기 위해 국악을 사랑하는 모든 분들의 염원을 모아 조성하였다."
"지리산허브밸리","전라북도 남원시 운봉읍 바래봉길 214","국내 최대의 철쭉 군락지를 보듬고 있는 지리산 바래봉해발 600m 지역인 남원시 운봉읍 용산리 일대에 자리하고 있으며,2005년 정부로부터 지리산 웰빙 허브산업특구로 지정받은 지역입니다.지리산의 자연 속에서 허브의 모든 것을 즐길 수 있는 지리산허브밸리는대한민국 허브산업의 중심지입니다."
"남원백두대간생태교육장전시관","전라북도 남원시 운봉읍 운봉로 151","지리산의 상징성과 백두대간의 역사·생태·보존의 최적지인 남원에 백두대간 생태교육장 전시관이 조성되었습니다. 전시관은 한반도 지도 형상을 본 따 만든 곡선의 전시관 지붕외관에서부터 우리나라의 중심축인 백두대간의 모든 것을 알고 보고 체험 할 수 있는 갖가지 내용물 등이 전시되어 있습니다. 전시관 주요시설로는 상설전시실, 기획전시실, 호남 최초로 시도하는 5D서클영상관, 카페테리아 등이 있으며 부대시설로는 야외공연장, 곤충온실, 체육시설 등이 있습니다"
"간절곶 공원","울산광역시 울주군 서생면 간절곶해안길 205","한반도에서 가장 해가 먼저 뜨는 대표적 해맞이 장소"
"명승 거창 수승대","경상남도 거창군 위천면 은하리길 2","거창군 위천면 황산리에 있는 영남 제일의 동천(洞天: 산천으로 둘러싸인 경치 좋은 곳)으로 알려진 ‘안의삼동(安義三洞)’ 중 하나로 원학동 계곡 한가운데 넓은 화강암 암반으로 이루어진 계곡이다. 이곳은 암반 위를 흐르는 계류와 숲이 어우러져 빼어난 자연경관을 이루고 있어 2008년에 명승 제53호로 지정[네이버 지식백과] 거창 수승대 [居昌搜勝臺] (한국민족문화대백과, 한국학중앙연구원)"
"가조온천","경상남도 거창군 가조면 온천길161","온천수  - 수질 : 26.5℃ / PH 9.7(국내 최고의 강 알칼리성 수질)      ▶ 류머티즘, 알레르기성 피부염 등에 탁월한 효과"
"회산백련지","전라남도 무안군 일로읍 백련로 333","동양 최대의 백련서식지, 수상유리온실, 수생식물생태관, 생태탐방로, 야외물놀이장, 오토캠핑장 등 다양한 시설을 갖추고 있어 체험과 관광을 동시에 즐길수 있음"
"하회관광지","안동시 풍천면 전서로 206","하회마을등 주변의전통문화자원과 연계된 관광여가단지"
"어답산관광지","강원도 횡성군 갑천면 어답산로 516","병지방계곡,캠핑장"
"산청전통한방휴양관광지","경상남도 산청군 금서면 동의보감로555번길 45-6","엑스포주제관, 한의학박물관, 동의전 등 머무를 수 있는 체류형 관광지"
"산청중산관광지","경상남도 산청군 시천면 지리산대로 525","수려한 자연경관과 지리산 천왕봉을 조망할 수 있는 산악형 관광지"
"산청금서관광지","경상남도 산청군 금서면 친환경로 1715","수려한 자연경관을 조망할 수 있는 가족단위 형태의 관광지"
"만인의총","전라북도 남원시 만인로 3","만인의총은 정유재란(1597년)때 남원성 전투에서 순절한 민·관·군 1만여 의사들의 호국의 얼이 서려있는 성스러운 곳이다"
"아담원","전라북도 남원시 이백면 목가길 193","아담원은 본래 나무를 키우던 조경농원이었던 곳으로 지난 10년간 정성으로 가꾸어 아름다운 정원으로 재탄생 하였습니다. 나무 한 주, 풀 한포기까지 엄선하여 심고, 관리하여 지리산자락의 비경과 함께 훌륭한 힐링의 장을 제공해 줄 것입니다. 아무쪼록 방문하시어 편안한 휴식을 만끽하시길 바랍니다"
"남원관광지","전라북도 남원시 양림길 12","남원하면 떠오르는 모든 상징물과 위락시설들을 모아 놓은 종합관광단지이다. 남원시 어현동 일대에 자리하고 있다. 한국관광공사가 조성한 남원관광단지에는 춘향전과 관련된 춘향테마파크, 춘향문화예술회관을 비롯해 국립민속국악원, 남원향토박물관 등의 문화시설이 있다."
"농월정","경상남도 함양군 안의면 농월정길 9-35","안의 삼동 중에서 화려한 자연의 미를 간직한 곳이 화림동이다. 화림동은 안의에서 전북 장수군으로 통하는 국도 26호선을 따라 약 4km를 가면 굽이치는 물가에 아담한 마을하나를 발견할 수 있는데, 이 곳이 화림동의 정수 농월정이 있는 곳이다. 화림동은 남덕유산에서 발원하는 금천이 굽이치며 흘러 팔담팔정을 이루었다. 그래서, 옛부터 화림동을 정자문화의 보고라 한다. 지금도 농월정을 비롯한 4개의 고풍스런 정자가 남아 있다. 특히 농월정은 달을 희롱하며 논다는 옛날 우리 선조들의 풍류사상이 깃든 곳, 함양을 찾은 많은 시인과 묵객들이 필히 거쳐간 곳이다. 이 곳 녹수를 사이에 둔 양쪽 산기슭의 송림은 거문고 현을 퉁기는 듯하며, 길게 늘어선 수양버들은 천줄기의 실로 낚시질을 하는 듯 보인다. 맑은 물이 급한 굴곡을 이루는 곳에 커다란 반석이 펼쳐져 있다. 반석위를 흐르는 물이 달빛을 받아 금물결을 이루는 이 곳에 세워진 고색창연한 농월정은 이름 그대로 달을 희롱하고 있는 듯하다. 크기를 짐작할 수 없을 정도로 거대한 월연암이라 이름 붙은 너럭바위 위로 미끄럼타듯 물살이 세차게 흐르고, 물길따라 골이 깊게 패였다. 월연의 맑은 물에서 물장구치며 노는 개구쟁이들의 모습과 아름다운 풍경은 한 폭의 동양화가 되어 지나는 행인의 발걸음을 멈추게 한다."
"달성토성마을","대구광역시 서구 국채보상로 83길 21 (비산동) 일대","집안에 있는 화분을 골목으로 꺼내놓으며 시작된 골목정원"
"오수의견관광지","전라북도 임실군 오수면 충효로 2096-16","경관이 수려하고 편의시설이 있음"
"사선대관광지","전라북도 임실군 관촌면 사선2길 68-7","경관이 수려하고 편의시설이 있음"
