화암사	전라북도 완주군 경천면 화암사길 271	세월의 흐름을 멋지게 담고있는 아름다운 사찰
속초해수욕장	강원도 속초시 해오름로 186	해안선 길이 약2km, 백사장 길이 약 500m이며 수심이 얕아 가족단위 관광객이 선호하는 속초시 대표 관광지이다.
맹종죽테마공원	경상남도 거제시 하청면 거제북로 700	맹종죽을 이용한 창조적 활용과 보존을 통하여 죽림욕을 이용한 치유，바다경관과 환경예술을 접목한 경관치유，맹족죽을 이용한 체험놀이치유가 가능한 죽림테라피 공간입니다.
거제박물관	경상남도 거제시 거제대로 3791(옥포동)	거제의 역사와 자료를 수집，정리，연구전시하고 있는 비영리 법인인 거제 문화재단의 사업기관
거제시농업개발원	경상남도 거제시 거제면 거제남서로 3577	지역실정에 맞는 농업기술과 지역소득작물을 연구개발 보급하여 농업인의 소득을 높이고，도시민에게는 농업 현장체험과 사계절 꽃 및 난지식물을 만날 수 있는 농업테마공원
거제요트학교	경상남도 거제시 일운면 지세포해안로 41	요트 산업의 활성화와 해양레저 스포츠 인구의 저변 확대는 물론 요트，윈드서핑을 비롯한 해양레저 스포츠의 철저한 교육 등 요트인구 저변 확대
거제자연휴양림	경상남도 거제시 동부면 거제중앙로 325	동부면 구천리 노자산 해발 565M 위치에 120ha 면적에 설치되었으며，산 정상에 전망대가 설치되어 거제전역과 한려해상국립공원의 크고 작은 섬들과 기암절병의 해안선을 관망할 수 있는 가족단위 휴양객들이 많이 찾고 있다
계도어촌체험마을	경상남도 거제시 사등면 가조로 837	가조도의 서북쪽에 위치 앞 바다에 닭모양의 닭섬이 있어 계도마을이라 하였다. 주요 특산물로는 미더덕 젓갈，미더덕，마른멸치，건홍합이 있다.
다대어촌체험마을	경상남도 거제시 남부면 다대5길 11	남부면 다대리에 위치한 다대마을로서 갯벌체험을 할 수 있다.
도장포어촌체험마을	경상남도 거제시 남부면 도장포1길 76	도장포 마을 인근에는 신선대와 바람의 언덕이 있다. 아름다운 풍경으로 새롭게 각광받고 있는 관광지로 연인들에게 인기 만점이다.
절물자연휴양림	제주특별자치도 제주시 명림로 584(봉개동)	제주시에서 20분거리에 위치해 있으며. 50여년생 삼나무조림지와 자연림이 조화를 이루는 독특한 경관으로 전국 국립자연휴양림 중 매년 최다 방문객을 바랑하고 있다. 또한 유아숲체험원. 숲해설. 목공예 등 산림체험프로그램을 운영하고 있다.
노루생태관찰원	제주특별자치도 제주시 명림로 520(봉개동)	100여 마리의 노루를 관찰할 수 있고. 자연학습과 생태체험. 오름산행을 즐길 수 있는 열린 시민의 공간입니다.
제주별빛누리공원	제주특별자치도 제주시 선돌목동길 60(오등동)	천문우주과학분야에 대한 호기심을 해결 할 수 있는 문화공간
삼척해수욕장	강원도 삼척시 수로부인길 453	길이 1㎞+폭 85m의 넓은 백사장+ 맑고 깨끗한 동해해수욕장+ 푸른 송림+소규모의 항포구+ 해안의 기암괴석과 모래+ 산이 분포되어 있으며+ 남쪽으로 해안선을 끼고 해안도로가 4.2KM 개설되어 관광객들로부터 많은 호응을 얻고 있음
맹방관광지	강원도 삼척시 근덕면 상맹방길 30-80	해수욕장을 중심으로 한 해변관광지로 동해의 맑은 물과 명사십리라 일컬어진 긴 백사장과 인접 농경지 사이에 평행하게 형성된 곰솔 등의 자연적 환경 요소를 갖춤
장호관광지	강원도 삼척시 근덕면 삼척로 2154	운동오락시설+오토캠핑장+카라반+야영시설 등 관광객 편의시설이 조성되어 운영되고 있으며+해상로프웨이 및 조경휴게지 등의 자연경관 감상을 위한 시설이 조성되어 운영되어 해마다 많은 관광객들이 방문
초당관광지	강원도 삼척시 근덕면 미근로 1629	자연환경과 더불어 수려한 자연 지형을 그대로 살린 친환경 골프장은 기후 영향을 비교적 덜 받아 사계절 체류형 관광지의 면모를 지니고 있음
무주 덕유산 리조트	전라북도 무주군 설천면 만선로 185	덕유산의 수려한 자연환경을 느낄 수 있으며, 오스트리아풍의 건물들로 이루어진 산악형 리조트
벽계야영장	경상남도 의령군 궁류면 벽계로 201	주변경관이 수려하며 물놀이장, 공연장, 캠프파이어장을 갖추고 있음
소래포구	인천광역시 남동구 포구로 2-9(논현동)	실제 어선이 드나드는 수도권 유일의 재래포구
소래습지생태공원	인천광역시 남동구 소래로 154번길 77(논현동)	갯벌과 옛 염전지역을 다양한 생물군락지와 철새도래지로 복원시킨 생태공원
소래철교	인천광역시 남동구 포구로 2-9(논현동)	수인선 협궤열차가 다니던 철로교량으로 길이 126미터의 소래철교는 1994년 열차운행이 중단된 후 통행로로 이용
장도포대지		인천광역시 문화재자료 제19호로 조선시대인 1877년 일본이 서해안 개항지를 물색하자 고종이 어영대장 신정희로 하여금 설치하였음
소래역사관	인천광역시 남동구 아암대로 1605(논현동)	소래의 역사와 문화 그리고 아름다운 옛모습을 보존하고자 2012년 6월에 개관한 남동구 최초의 공립박물관
화암관광지	강원도 정선군 화암면 화암동굴길 12-13	천혜의 경관과 자연적 역사문화적 특성을 관광자원화하였음
아우라지 관광지	강원도 정선군 여량면 아우라지길 69	천혜의 경관과 자연적 역사문화적 특성을 관광자원화하였음
방화동가족휴가촌	전라북도 장수군 번암면 방화동로 778	전국 8대종산에 속하는 장안산 기슭을 따라 펼쳐지는 맑고 깨끗한 계곡을 끼고 조성된 국민 휴양지
남한산성	경기도 광주시 남한산성면 남한산성로 731	역사와 문화, 4계절의 아름다움을 감상할 수 있는 곳
분원백자자료관	경기도 광주시 남종면 산수로 1642-1	조선시대 관영사기의 변천과 도자기역사의 발자취 감상
천진암	경기도 광주시 퇴촌면 천진암로 1203	천학 강학회를 통해 신앙의 차원인 천주교로 발전시킨 성지
경기도자박물관	경기도 광주시 곤지암읍 경충대로 727	우리의 전통 도자문화와 역사를 느낄 수 있는 곳
경안천습지생태공원	경기도 광주시 퇴촌면 산수로 1159	다양한 수생식물 등 조류관찰과 자연학습의 장
팔당물안개공원	경기도 광주시 남종면 산수로 1897	시민의 숲, 희망의 숲, 코스모스길, 자전거길이 잘 조성된 공원
중대물빛공원	경기도 광주시 순암로 307	장미터널, 연꽃로드, 아치목교 등이 있는 수변공원
국립5.18민주묘지	광주광역시 북구 민주로 200	국립5 · 18민주묘지는 5 · 18민주화운동의 정신과 역사적 의미를 확인하는 상징적인 공간이자, 의로운 희생의 가치와 자유와 정의를 갈망하는 오늘을 살아가는 삶이 만나는 공간입니다.
5.18추모관	광주광역시 북구 민주로 200	살아있는 역사 교육의 장으로 우리 민족과 세계인의 가슴속에 영원한 민주성지이므로, 뜻 깊은 관광지임
광주광역시문화예술회관	광주광역시 북구 북문대로 60	광주광역시문화예술회관은 장르별로 특성화하여 건축된 전문공연예술회관이다. 오페라 및 다양한 장르를 공연할 수 있는 대극장, 가변형 객석의 실험무대가 가능한 소극장 등 2개의 공연장으로 구성되어 있으며, 실험극장 및 일반 미술전시를 겸비한 별관전시실, 운암산의 울창한 숲으로 둘러싸인 원형야외극장, 그밖에 시립예술단체의 연습장, 대극장 로비에 설치된 매점 및 레스토랑 등의 편의시설이 갖추어진 문예회관이다.
광주광역시기아챔피언스필드	광주광역시 북구 서림로 10	국내 최초 개방형 야구장으로 기아 타이거즈 홈구장으로 사용하고 있음.
광주광역시민속박물관	광주광역시 북구 서하로 48-25	조선시대부터 근현대에 이르기까지 광주광역시의 근현대 역사를 들여다 볼 수 있는 새로운 창이자 지역의 대표 박물관
전남대학교박물관	광주광역시 북구 용봉로 77	역사를 되돌아보는 기회
우치공원 동물원	광주광역시 북구 우치로 677	사육사들이 직접 적은 사육사노트를 두어 해당 동물에 대한 정보와 상태를 알 수 있고,사육사 체험과 먹이주기 체험 등 등 유아부터 학생들까지 여러 가지 체험을 즐길 수 있음
녹색에너지체험관 광주광역시전남지역본부	광주광역시 북구 첨단과기로 123	에너지절약이 왜 필요한지, 생활 속에서 실천할 수 있는 에너지절약은 무엇인지를 쉽게 이해하고 배울 수 있는 체험관
광주광역시시민의숲	광주광역시 북구 추암로 190	산책하기 좋은 공원
척산온천	강원도 속초시 관광로 327	1971년 설립된 온천장으로 지하 4,000km 심도에서 발생한 온천수를 이용하며 설악산과 근접한 위치에 자리잡고 있다.
설악한화리조트	강원도 속초시 미시령로 2983번길 111	천연 온천수를 이용한 온천시설과 물놀이 시설을 갖춘 종합 테마파크이며, 설악 워터피아 등 다양한 부대시설은 완비하고 있다.
무등산풍암정	광주광역시 북구 풍암제길 117	무등산을 느낄 수 있음
중외공원 산책로	광주광역시 북구 하서로 50	드넓은 잔디밭과 함께 다양한 꽃과 수목으로 봄꽃놀이와 가을철 단풍명소로 유명
광주광역시어린이대공원	광주광역시 북구 하서로 50	놀이동산 시설이 있는 가족 나들이 장소
5.18자유공원		상무신도심 개발에 따라 인근에 1만평규모로 조성된 5 ·18자유공원은 80년대당시 항쟁에 참여한 시민을 연행, 구금·재판하고 수감하였던 군사법정과 영창을 원형으로 복원·재현한 곳임
전평제근린공원		1943년 매월동, 벽진동 농경에 농업용수를 공급하고 재해방질을 위해 축조된 곳으로 도심근교에 방치된 저수지를 1999년부터 2002년까지 국토공원화 시범사업으로 체육시설 및 쉼터를 조성하여 수변경관 및 자연탐방과 함께 가족단위 여가선용의 장소로 적합한 곳이다.
풍암생활체육공원		풍암생활체육공원은 1991. 6. 30 ~ 1994. 12 . 31일까지 3년 6개월동안 서구 관내에서 배출된 일반 생활쓰레기와 연탄재를 매립했던 곳으로 심한 악취로 황폐해진 공간을 정비하여 자연이 살아숨쉬는 자연적인 생태공간으로 조성한 공원이다.
운천저수지		1951년 마륵동 농경지에 농업용수를 공급하고 재해방지를 위해 축조된 운천저수지는 주변의 대규모 택지개발(금호,상무지구)로 도시중심에 위치하게 되고, 상류수원 고갈과 오폐수가 유입되어 악취와 해충서식지로 전락하게되어 각종 민원이 유발되던 곳을 95년 차별 사업추진으로 하수와 오폐수 유입을 차단하고 맑은물을 공급한 결과 자정능력이 회복되어 각종 조류가 날아드는 자연생태공원으로 변모하여 현재는 도심 속 명소가 되었다.
월봉서원	광주광역시 광산구 광곡길 133	조선전기 기대승을 추모하기 위해 창건한 서원, 광주광역시기념물 제9호로 지정
용진정사		일본이 한국을 병탄하자 망국의 한을 달래면서 용진산에 강당을 짓고 후진 양성에 힘쓴 곳으로서 한말 호남 의병활동의 본거지
황룡친수공원		선운지구에 위치한 유채꽃을 볼 수 있는 공원
양산호수공원	광주광역시 북구 하서로 311	초여름에 연분홍빛 연꽃을 즐길 수 있는 공원
쌍암공원	광주광역시 광산구 첨단중앙로182번길 39	철쭉꽃 숲들과 소나무숲이 있어 상쾌함과 시원함을 더해주는 공원
대인예술시장	광주광역시 동구 독립로 284-2	다양한 볼거리와 먹거리를 즐길 수 있는 전통 시장
상무시민공원		볼거리가 많고, 온 가족이 운동과 산책을 즐기며 휴식의 기회를 가질 수 있는 공간임
광주광역시월드컵경기장	광주광역시 서구 금화로 240	광주광역시월드컵경기장은 4만 3천여명을 동시에 수용할 수 있는 축구전용경기장으로 미디어센터, 선수대기실, 통신 및 의료시설과 최고의 서비스를 가능케 하는 각종 부대시설 등 관람객과 선수를 동시에 만족시키는 최첨단시설을 갖추고 있다.
평화공원	광주광역시 서구 내방로 102	숲과 물과 빛이 어우러지는 광장
5.18기념공원	광주광역시 서구 내방로 152	5.18민주화운동을 기리는 공원으로 추모공간, 광장, 기념탑, 문화회관 등 있음
대둔산도립공원	전라북도 완주군 운주면 대둔산공원길 23	사계절이 모두 아름다운 완주의 자랑이자 보물인 산
무각사	광주광역시 서구 운천로 230	일주문, 사천왕문, 대웅전, 종각 등 전통사찰의 형태를 여법하게 갖추며 일주문에서 사천왕, 대웅전으로 이어지는 가람 형태는 도심 한복판에 자리해 있으면서도 깊은 산사에 들어선 듯 경건함
창작농성골	광주광역시 서구 월산로173번길 15-1	골목마다 벽화를 비롯해 쉼터와 벚나무, 동백나무 등의 묘목이 식재을 띤 명소
유적근린공원	광주광역시 서구 천변우하로 469	기원후 5세기 후반의 백제 역사를 간직하고 있음
