구)나주역	전라남도 나주시 죽림길 26	전라남도기념물
옥포대첩기념공원	경상남도 거제시 팔랑포2길 87	임진왜란 발발 이후 충무공 이순신장군이 첫 승전한 옥포해전을 기념하고 충무공정신을 후세에 길이 계승하기 위하여 조성한 기념공원이다
조선해양문화관	경상남도 거제시 일운면 지세포해안로 41	어촌에 전해 내려오는 전통문화 및 어업변천사 등 보전 전시하여 청소년 교육의 장과 도시민의 휴식공간으로 활용
지심도	경상남도 거제시 일운면 지심도길 56-12	지심도 섬 전체가 거의 동백나무로 뒤덮여 있는 섬으로 장승포항에서 5km 쯤 떨어져 있다. 지심도 일주도로인 오솔길을 따라 걸으면 2~3시간이면 전부 감상 할 수 있다.
칠천량해전공원	경상남도 거제시 하청면 칠천로 265-39	임진왜란 당시 조선 수군의 최대 패전으로 기록된 칠천량 해전의 의미를 되새기는 기념공원이다
포로수용소유적공원	경상남도 거제시 계룡로 61	한국전쟁 당시 거제도는 고립된 천연의 수용소로 아픈 한국 현대사의 상처가 남아 있는 곳이다.
거제해금강		자연경관이 빼어나 1971년 명승제2호로 지정됨，수억 년 파도와 바람에 씻긴 형상이 갖가지 모습을 연출한다.
외도	경남 거제시 일운면 외도길 17	개인 소유 섬으로 거제의 대표적인 관광지이다.
공곶이		지형이 궁둥이처럼 튀어나왔다고 해서 공곶이라고 불리며，수선화와 동백나무 등 50여 종의 나무와 꽃이 심겨 있다
김영삼전대통령생가기록전시관	경상남도 거제시 장목면 옥포대첩로 743	거산 김영상대통령의 정치적 삶과 민주주의 사상을 널리 알리고 계승하기 위하여 개관
문동휴양지		문동폭포와 함께 우그러진 숲，시원한 바람을 느낄 수 있는 도심 속 휴양지이다
대운산 내원암 계곡	울산광역시 울주군 온양읍 대운상대길 382	깊고 청량한 계곡속의 수려한 연못과폭포, 한번 누워보고 싶은 반석들을 품고 있는 비경이 있음
스포원파크	부산광역시 금정구 체육공원로399번길 324	스포원파크는 기존의 경기장과는 달리 ‘공원’과 ‘개방’의 개념을 도입한 ‘공원형 경기장’으로서 쾌적한 환경여건을 가지고 있어 건강과 휴식을 위한 명소로 사랑받고 있다.
송도해상케이블카	부산광역시 서구 송도해변로 171	부산 송도해수욕장 동쪽 송림공원에서 서쪽 암남공원까지 1.62㎞ 구간을 바닥이 투명한 크리스탈 캐빈을 포함한 8인승 캐빈 39기가 운행합니다. 특히 최대 86m 높이에서 바다 위를 가로질러 운행함으로서 탑승객들은 바다 한가운데에서 짜릿함을 느끼는 것은 물론 암남공원, 남항, 영도에 이르기까지 사방으로 펼쳐진 빼어난 풍광을 즐길 수 있습니다.
송도해수욕장	부산광역시 서구 송도해변로 100	우리나라 제1호 해수욕장. 동양의 나폴리로 불리며 60,80년대 송도의 추억으로 잘 알려진 송도해수욕장이 아름다운 해안선을 자랑하며 사계절 즐길 수 있는 해변공원으로 새롭게 태어났다.
암남공원	부산광역시 서구 암남공원로 185	암남공원(岩南公園)은 부산시 서구 진정산 일대에 조성된 자연생태공원이다. 이곳에는 약 1억 년 전 형성된 퇴적암, 100여 종의 야생화와 370여 종의 식물 등 도심에서 보기 드문 자연생태가 군락을 이루고 있다. 산책로 1.9㎞, 해안 산책로 1.2㎞를 포함한 총면적이 55만 3,277㎡로, 아름다운 해안 경치와 울창한 산림이 조화를 이룬 천혜의 자연경관을 자랑한다.
가산산성		임진왜란과 병자호란을 겪은후 잇따른 외침에 대비하기 위해 세원진 산성
가산산성야영장	경상북도 칠곡군 동명면 한티로 1034	자연의 정취와 팔공산 사계를 만끽할 수 있는 야영공간
구상문학관	경상북도 칠곡군 왜관읍 구상길 191	프랑스 문인협회 선정 세계 200대 문인중인 구상 시인의 문학관을 느낄 수 있는 곳
다부동전적기념관	경상북도 칠곡군 가산면 호국로 1486	구국의 정신과 평화의 소중함을 전하는 역사가 흐르는 기념관
송정자연휴양림	경상북도 칠곡군 석적읍 반계3길 88	자연과 사람이 숨 쉬는 곳 도심에서 가까운 휴양림
칠곡보오토캠핑장	경상북도 칠곡군 약목면 강변서로 110-43	산과 강이 어우러진 오토캠핑장
칠곡호국평화기념관	경상북도 칠곡군 석적읍 강변대로 1580	낙동강 55일간의 전투를 재조명하고 다채로운 체험 통해 호국체험공간
칠곡양떼목장	경상북도 칠곡군 지천면 창평로 209-42	양떼를 체험해볼수 있는 어린이를 위한 체험장
가산수피아	경상북도 칠곡군 가산면 학하들안2길 105	2019년 4월에 개장한 국내최대 민간정원
국립칠곡숲체원	경상북도 칠곡군 석적읍 유학로 532	청소년 및 가족 단체를 위한 숲체험 산림교육프로그램과 산림치유프로그램 운영
산토끼노래동산	경상남도 창녕군 이방면 이방로 623	국민 동요 ‘산토끼’의 유래지역인 창녕군 이방면에 어른들에게는 어린 시절의 추억을 떠올리고, 어린이들에게는 생생한 체험학습의 장을 마련하고자 조성된 어린이 및 가족단위의 생태체험 여행관광지이다
광주광역시공원&광주광역시향교	광주광역시 남구 중앙로 107번길 15	선비들의 정신이 살아 있음을 느낄 수 있음
포충사	광주광역시 남구 포충로 767	광주광역시 남구 원산동에 있는 고경명 등 임진왜란 때의 의병 5명의 충절을 기리는 사당
광주광역시어린이교통공원	광주광역시 북구 임방울대로 877	광주광역시지역 어린이들의 현장중심 교통안전 교육의 요람
국립광주광역시과학관	광주광역시 북구 첨단과기로 235	빛,소리,우주 등 과학과 예술이 만나는 과학관
부례관광지	경상북도 고령군 우곡면 우곡강변길 672	낙동강을 중심으로 한 녹색성장시대의 새로운 강변문화 관광지입니다. 풋살장과 농구장 같은 스포츠공간과 카라반 시설과 바이크텔이 있어,  건강하고 재밌는 체험과 숙박을 함께 즐길 수 있습니다.
한국코미디타운	경상북도 청도군 이서면 이서로 565	직접 원맨쇼를 하고 몸 개그를 하는 등 코미디를 오감으로 체험함으로써 우리 민족의 정서 속에 흐르는 웃음 유전자를 발견 할 수 있는 ‘대한민국 유일의 코미디 체험관’입니다.
소싸움테마파크	경상북도 청도군 화양읍 남성현로 346	소와 소싸움의 유래에서부터 전해져온 전승과 역사를 다양한 그래픽 패널과 모형으로 소싸움에 대한 관람객의 이해를  돕기 위해 전시관, 영상관, 기획전시실 등 소와 함께하는 다양한 체험시설이 있다.
청도레일바이크	경상북도 청도군 청도읍 하지길 46-51	청도천변을 따라 폐선된 옛 첫길을 테마로 조성
청도자전거공원		군내 최대 규모의 자전거공원이다. 산악자전거 체험코스(MTB알파인코스)와 MTB스킬센터, MTB지원센터 등도 마련
청도신화랑풍류마을	경상북도 청도군 운문면 운문로 2455	화랑의 세속오계 정신을 연출한 체험형 복합관광단지
새마을운동발상지기념공원	경상북도 청도군 청도읍 새마을1길 34	6070년대 생활상 전시, 체험 및 교육
청도소싸움경기장	경상북도 청도군 화양읍 남성현로 348	전통민속문화인 청도 소싸움을 문화관광상품으로 개발
와인터널	경상북도 청도군 화양읍 송금길 100	용도없이 방치되어온 터널을 정비하여 감와인 숙성저장고와 와인카페로 사용
프로방스 포토랜드	경상북도 청도군 화양읍 이슬미로 272-20	프랑스의 정감 있는 프로방스마을을 빛 축제로 승화
고래불관광지		명사20리 라고 불리는 8km에 이르는 넓고 긴 양질의 백사장과 빼어난 해송림 등 우수한 자연자원을 보유한 관광지
장사해수욕장관광지	경상북도 영덕군 남정면 동해대로 3592	해수욕장의 청정 자연자원과 장사상륙작전이라는 역사적 사건을 보존한 관광지
예천포리관광지	경상북도 예천군 감천면 복골길 150	내성천 지류가 자연석과 어울려 경관이 수려하며, 충효테마공원에서 충효 체험이 가능함.
예천삼강	경상북도 예천군 풍양면 삼강리길 53-23	자연과 문호, 사람과 역사가 함께 공존하는 예천의 신개념 문화체험공간
금마관광지	전라북도 익산시 금마면 고도9길 41-14	익산 서동공원 일원
미륵사지관광지	전라북도 익산시 금마면 미륵사지로 362	미륵사지 절터 및 전시실
왕궁보석테마 관광지	전라북도 익산시 왕궁면 호반로 8	익산 보석박물관
웅포관광지	전라북도 익산시 웅포면 강변로 25	웅포 곰개나루 및 캠핑장
운일암반일암	전라북도 진안군 주천면 동상주천로 1924	기암괴석과 크고 작은 폭포, 소가 어울려 빚어낸 절경
대가야생활촌	경상북도 고령군 대가야읍 신남로 81	역사적 고증과 현대적 상상을 바탕으로 대가야의 역사와 문화의 과거, 현재, 미래의 모습을 볼 수 있도록 재현한 대가야생활촌입니다. 대가야생활촌에는 1500년 전 대가야시대로 안내해주는 인트로영상관, 대가야 의식주 생활상을 재현한 인줄마을, 대가야를 대표하는 철기문화를 직접 체험할 수 있는 불묏골, 대가야의 토기문화와 교역물품을 알아볼 수 있는 골안마을, 대가야의 전통나룻배를 승선할 수 있는 상가라도못, VR용사체험을 즐길 수 있는 메나릿골, 여름철 시원한 물놀이가 가능한 물놀이장, 대가야 철의 원정대 일원이 되어 원정선 하지호에 승선할 수 있는 주산성전시관, 기와마을과 초가마을로 이루어진 숙박시설 한기촌 등이 있어 학습체험과 관광숙박을 한 곳에서 즐길 수 있습니다.
대가야역사테마관광지	경상북도 고령군 대가야읍 대가야로 1216	찬란하게 꽃 피웠던 대가야의 토기와 철기, 가야금 문화 등 대가야의 역사를 테마로 하여 조성된 관광지입니다. 대가야에 대하여 배워볼 수 있는 전시관들 및 대가야탐방숲길이 있으며, 아이들이 즐겁게 즐길 수 있는 레일썰매장, 물놀이장을 운영하고 있습니다.
청도박물관	경상북도 청도군 이서면 이서로 567	폐교를 새단장하여 만든 청도 최초의 종합박물관
바람의언덕		영화의 제목처럼 불리는 언덕으로 실제 많은 드라마 속 배경으로 유명해졌다. 마무 계단으로 연결된 산책로를 따라 언덕을 오르면 몸을 가누기 힘들 정도의 바람이 마치 힘겨루기 하듯 불어온다. 정상 부근 벤치에 앉으면 지중해의 경치가 부럽지 않은 우리 국토의 또 다른 아름다움이 눈앞으로 펼쳐진다.
우제봉전망대		한려해상국립공원을 한눈에 볼 수 있는 전망대로 해발 107m에 위치해 있다. 정면으로는 거제 해금강이 보여 멋진비경을 자랑한다
청마기념관	경상남도 거제시 둔덕면 방하2길 6	청마 유치환이 태어난 곳으로 그이 문학 정신을 기리고 그 업적을 고양하기 위하여 기념관을 건립
씨월드	경상남도 거제시 일운면 지세포해안로 15	대한민국 최대의 돌고래 체험시설로 돌고래 만지기，악수하기，돌고래에게 먹이주기 등 다양한 체험 및 교육프로그래을 즐길 수 있다.
알로에테마파크	경상남도 거제시 거제면 거제남서로 3937	알로에를 화분에 심어가져가거나 족욕을 즐기는 등 다양한 체험을 할 수 있는 테마파크
노을이물드는언덕		푸른 빛 바다와 붉은 노을이 어우러져 아름다운 풍경을 자아내는 곳
가조수협효시공원	경상남도 거제시 사등면 가조서로 7	우리나라 수산업협동조합의 처음 시작된 역사적 의미 기념하여 조성함.
백룡동굴	강원도 평창군 미탄면 문희길 63	백룡동굴의 입구는 해발고도 235m 지점에 있는 천연동굴로서 약 5억년 전에 생성된 것으로 보인다. 동강의 수면으로부터 약 15m 위의 지점에 위치한다. 백룡동굴은 오래 전부터 마을 주민들에게 알려져 왔으며, 동굴 입구에 온돌이 있고 그 주위에 토기조각들이 발견되는 것으로 보아 오래 전에는 우리 조상의 거처로도 사용되었던 것으로 생각된다. 또한 약 3만년 전의 것으로 추측되는 소의 대퇴부 뼈가 석순에 응고된 채 발견되어 신비로움을 더해주고 있다. 특히 굴의 주변을 감싸고 있는 백운산과 굽이쳐 흐르는 강줄기는 때묻지 않은 아름다운 자연 경관을 그대로 간직하고 있어 선경을 연상하게 해 준다.
이효석문화예술촌	강원도 평창군 봉평면 효석문학길 73-25	이효석문화예술촌은 가산 이효석의 생애와 문학세계를 볼 수 있는 곳으로 특히 이효석문학관에는 이효석 문학전시실과 다양한 문학체험을 할 수 있는 문학교실, 학예연구실 등으로 이루어져 있다. 문학전시실은 그의 생애와 문학세계를 시간의 흐름에 따라 볼 수 있도록 구성하였으며, 재현한 창작실, 옛 봉평 장터 모형, 문학과 생애를 다룬 영상물, 어린이용 영상물 등을 통해 다양한 체험이 가능하도록 준비하였다. 또 문학교실에서는 다양한 영상물을 시청할 수 있고 문예행사도 볼 수 있으며, 학예연구실에는 이효석과 관련된 다양한 자료를 준비하여 그의 문학세계를 깊이 연구하는 공간으로 자리잡고 있으며, 문학정원에서는 자연의 아름다움과 문학의 소중함을 느낄 수 있다.또한 이효석문화예술촌에는 이효석문학관 뿐만 아니라, 사계절의 자연을 느낄 수 있는 꿈꾸는 정원과 야외광장인 나귀광장과 달빛광장이 있으며 효석달빛언덕을 한눈에 내려다 볼 수 있는 달빛나귀 전망대, 이효석의 기억과 추억을 들여다 볼 수 있는 작은 도서관, 카페, 기념품샵이 있다.
마하생태관광지		마하리 본동 지구 및 마하리 문희마을 지구로 이루어져 있으며 백룡동굴의 생태관광 체험을 할 수 있다. 또한 주차장, 관리사무소 등 공공편익시설과 휴게음식점, 매점 등 숙박, 상가시설 및 자연학습장, 명상의 정원 등 휴양 문화시설이 함께 조성되어있다.
서포리관광지	인천광역시 옹진군 덕적면 덕적남로606번길 3	100년이 넘는 노송이 울창한 숲을 이루고 있고 완만한 경사와 넓이 300m 길이 3km의 넓은 백사장은 매년 10만 명이 넘는 관광객들의 휴식처가 되고 있는 곳이다. 200여 년은 족히 됐다는 소나무 8백여 본이 심어져 있는 소나무 숲은 단체야영에 제격이다. 거기에 넓은 운동장, 바닷가 놀이터, 테니스장, 음식점, 노래방, 자전거 대여소도 있으니 웬만한 레저시설은 다 준비되어 있는 셈이다. 주변의 갯바위에서는 우럭과 놀래미가 잘 잡혀 바다 낚시를 즐기는 관광객들의 발길이 끊이지 않고 있다.
보은 삼년산성	충청북도 보은군 보은읍 성주1길 104	신라 삼국통일의 전초기지인 삼년산성은 축성연대는 물론 수축연대가 정확히 기록되어 있는 산성으로 중부권의 역사적 가치를 지닌 문화유산이다
김수환 추기경 사랑과 나눔 공원	경상북도 군위군 군위읍 군위금성로 270	김수환 추기경의 사랑과 나눔 정신의 계승,확산을 위한 정신문화 공간
사라온 이야기 마을	경상북도 군위군 군위읍 동서길 49	선조들이 살아온 역사와 문화를 적라촌, 적라청, 적라골 3가지 테마로 나누어 재현
금정산	부산광역시 금정구 범어사로 250	금정산은‘산마루에 우물이 있어 한 마리 금빛 나는 물고기가 오색구름을 타고 하늘에서 내려 와 우물 속에 놀았다’는 이야기에서 유래하여 이름 붙은 부산의 진산이다.
범어사	부산광역시 금정구 범어사로 250	범어사는 역사적으로 많은 고승대덕을 길러내고 선승을 배출한 수행사찰로 오랜 전통과 많은 문화재가 보존되어 있는 한국 불교계의 중심지 중 하나이다.
회동수원지	부산광역시 금정구 오륜대로258	조선시대부터 아름다운 풍경으로 유명한 회동수원지는 금정구를 대표하는 도심 속 힐링 명소이다. 땅뫼산 황토숲길, 편백나무숲, 오륜대 전망대는 일상 속 휴식처가 되어 준다.
서동미로시장	부산광역시 금정구 서동로141번길 16	서동미로시장은 아름다운 길(美路)이라는 의미이자 골목마다 형성된 상권이 미로같다 하여 이름 붙은 문화관광형 시장이다.
국립광주광역시박물관	광주광역시 북구 하서로 110	광주광역시전남지역의 전통문화를 조사연구,전시교육,보존관리하기 위해 설립한 박물관
김대중 컨벤션센터	광주광역시 서구 상무누리로 30	총 29개의 회의실, 3,000석 규모의 다목적홀을 갖춘 국제규모의 최첨단 전시컨벤션센터
역사문화공원	광주광역시 광산구 왕버들로 331	사적 제375호로 지정된 반촌재와 청동기 시대 대표 묘제로 여러매의 판석과 합석을 이용해 축조된 광주광역시 신창동 지석묘를 볼 수 있는 곳이다.
푸른길공원		전라도와 경상도를 연결하는 경전선 광주광역시구간이 폐선된 이우, 폐철도 부지에 조성된 도시공원이다.
보라매축구공원		발에 착착 감기는 좋은 잔디와 함께하는 축구를 경험할 수 있음
운남동근린공원	광주광역시 광산구 목련로 156	광산구 운남동과 월곡동 사이 풍영정천을 두고 경계에 위치한 공원
경암근린공원	광주광역시 광산구 하남대로54번안길 133	공원 내 유아 숲 체험원이 있어 아이와 함께 방문하여 숲길을 걸으며 놀기 좋은 곳이다.
무양서원	광주광역시 광산구 산월로21번길 26	무양서원은 고려 인종 때 어의이면서 명신인 장경공 최사전을 중심으로 그의 후손 4명(손암 최윤덕, 금남 최부, 문절공 유희춘, 충열공 나덕헌)을 모시고 있는 서원
용아생가	광주광역시 광산구 소촌로46번길 24	현대 문학의 개척자, 용아 박용철 생가, 정렬적이고 남성적인 그의 시세계는 30년대 서정시 발전에 선구적 역할을 하였다
1913송정역시장	광주광역시 광산구 송정로8번길 13	1913년부터 광주광역시 송정역과 함께 명맥을 같이한 100년 역사를 간직한 유서 깊은 전통 시장
경장각	광주광역시 광산구 용아로 460	경장각은 조선 인조 때의 문신이었던 이신의(李信儀)을 배양하는 곳
